证券代码,证券名称,行业
600879.SH,航天电子,航天装备
000520.SZ,长航凤凰,航运
002320.SZ,海峡股份,航运
600026.SH,中海发展,航运
600242.SH,*ST中昌,航运
600428.SH,中远航运,航运
600692.SH,亚通股份,航运
600751.SH,天海投资,航运
600798.SH,宁波海运,航运
600896.SH,中海海盛,航运
601866.SH,中海集运,航运
601872.SH,招商轮船,航运
601919.SH,中国远洋,航运
603167.SH,渤海轮渡,航运
002343.SZ,慈文传媒,合成革
002395.SZ,双象股份,合成革
300180.SZ,华峰超纤,合成革
300218.SZ,安利股份,合成革
300321.SZ,同大股份,合成革
000503.SZ,海虹控股,互联网信息服务
002095.SZ,生意宝,互联网信息服务
002315.SZ,焦点科技,互联网信息服务
300052.SZ,中青宝,互联网信息服务
300059.SZ,东方财富,互联网信息服务
300104.SZ,乐视网,互联网信息服务
300113.SZ,顺网科技,互联网信息服务
300226.SZ,上海钢联,互联网信息服务
300295.SZ,三六五网,互联网信息服务
300431.SZ,暴风科技,互联网信息服务
300494.SZ,盛天网络,互联网信息服务
603000.SH,人民网,互联网信息服务
002140.SZ,东华科技,化学工程
002469.SZ,三维工程,化学工程
002755.SZ,东方新星,化学工程
600248.SH,延长化建,化学工程
601117.SH,中国化学,化学工程
603698.SH,航天工程,化学工程
000597.SZ,东北制药,化学原料
000739.SZ,普洛药业,化学原料
000756.SZ,新华制药,化学原料
000788.SZ,北大医药,化学原料
000952.SZ,广济药业,化学原料
000990.SZ,诚志股份,化学原料
002001.SZ,新和成,化学原料
002019.SZ,亿帆鑫富,化学原料
002020.SZ,京新药业,化学原料
002099.SZ,海翔药业,化学原料
002365.SZ,永安药业,化学原料
002399.SZ,海普瑞,化学原料
002550.SZ,千红制药,化学原料
002626.SZ,金达威,化学原料
002675.SZ,东诚药业,化学原料
300233.SZ,金城医药,化学原料
300255.SZ,常山药业,化学原料
300261.SZ,雅本化学,化学原料
300267.SZ,尔康制药,化学原料
300363.SZ,博腾股份,化学原料
300401.SZ,花园生物,化学原料
300452.SZ,山河药辅,化学原料
300497.SZ,富祥股份,化学原料
600216.SH,浙江医药,化学原料
600267.SH,海正药业,化学原料
600488.SH,天药股份,化学原料
600521.SH,华海药业,化学原料
600666.SH,奥瑞德,化学原料
600812.SH,华北制药,化学原料
603456.SH,九洲药业,化学原料
000153.SZ,丰原药业,化学制剂
000513.SZ,丽珠集团,化学制剂
000566.SZ,海南海药,化学制剂
000908.SZ,景峰医药,化学制剂
000915.SZ,山大华特,化学制剂
002262.SZ,恩华药业,化学制剂
002294.SZ,信立泰,化学制剂
002332.SZ,仙琚制药,化学制剂
002370.SZ,亚太药业,化学制剂
002393.SZ,力生制药,化学制剂
002422.SZ,科伦药业,化学制剂
002437.SZ,誉衡药业,化学制剂
002653.SZ,海思科,化学制剂
002693.SZ,双成药业,化学制剂
002773.SZ,康弘药业,化学制剂
300006.SZ,莱美药业,化学制剂
300016.SZ,北陆药业,化学制剂
300026.SZ,红日药业,化学制剂
300086.SZ,康芝药业,化学制剂
300110.SZ,华仁药业,化学制剂
300194.SZ,福安药业,化学制剂
300199.SZ,翰宇药业,化学制剂
300254.SZ,仟源医药,化学制剂
300485.SZ,赛升药业,化学制剂
600062.SH,华润双鹤,化学制剂
600079.SH,人福医药,化学制剂
600276.SH,恒瑞医药,化学制剂
600380.SH,健康元,化学制剂
600385.SH,山东金泰,化学制剂
600420.SH,现代制药,化学制剂
600513.SH,联环药业,化学制剂
600566.SH,济川药业,化学制剂
600664.SH,哈药股份,化学制剂
600771.SH,广誉远,化学制剂
600789.SH,鲁抗医药,化学制剂
600829.SH,人民同泰,化学制剂
603168.SH,莎普爱思,化学制剂
603222.SH,济民制药,化学制剂
603669.SH,灵康药业,化学制剂
000035.SZ,中国天楹,环保工程及服务
000826.SZ,启迪桑德,环保工程及服务
000939.SZ,凯迪生态,环保工程及服务
002341.SZ,新纶科技,环保工程及服务
002479.SZ,富春环保,环保工程及服务
002573.SZ,清新环境,环保工程及服务
002672.SZ,东江环保,环保工程及服务
300055.SZ,万邦达,环保工程及服务
300056.SZ,三维丝,环保工程及服务
300070.SZ,碧水源,环保工程及服务
300090.SZ,盛运环保,环保工程及服务
300125.SZ,易世达,环保工程及服务
300137.SZ,先河环保,环保工程及服务
300152.SZ,科融环境,环保工程及服务
300156.SZ,神雾环保,环保工程及服务
300172.SZ,中电环保,环保工程及服务
300187.SZ,永清环保,环保工程及服务
300190.SZ,维尔利,环保工程及服务
300262.SZ,巴安水务,环保工程及服务
300332.SZ,天壕环境,环保工程及服务
300334.SZ,津膜科技,环保工程及服务
300335.SZ,迪森股份,环保工程及服务
300422.SZ,博世科,环保工程及服务
300425.SZ,环能科技,环保工程及服务
600217.SH,*ST秦岭,环保工程及服务
600292.SH,中电远达,环保工程及服务
600656.SH,*ST博元,环保工程及服务
603126.SH,中材节能,环保工程及服务
603568.SH,伟明环保,环保工程及服务
603588.SH,高能环境,环保工程及服务
300203.SZ,聚光科技,环保工程及服务
000551.SZ,创元科技,环保设备
002499.SZ,科林环保,环保设备
300385.SZ,雪浪环境,环保设备
600388.SH,龙净环保,环保设备
600526.SH,菲达环保,环保设备
603311.SH,金海环境,环保设备
000506.SZ,中润资源,黄金
002155.SZ,湖南黄金,黄金
002237.SZ,恒邦股份,黄金
600146.SH,商赢环球,黄金
600311.SH,ST荣华,黄金
600489.SH,中金黄金,黄金
600547.SH,山东黄金,黄金
600687.SH,刚泰控股,黄金
600766.SH,园城黄金,黄金
600988.SH,赤峰黄金,黄金
601069.SH,西部黄金,黄金
601899.SH,紫金矿业,黄金
600059.SH,古越龙山,黄酒
600616.SH,金枫酒业,黄酒
601579.SH,会稽山,黄酒
000027.SZ,深圳能源,火电
000539.SZ,粤电力A,火电
000543.SZ,皖能电力,火电
000600.SZ,建投能源,火电
000601.SZ,韶能股份,火电
000690.SZ,宝新能源,火电
000720.SZ,新能泰山,火电
000767.SZ,漳泽电力,火电
000875.SZ,吉电股份,火电
000899.SZ,赣能股份,火电
000966.SZ,长源电力,火电
001896.SZ,豫能控股,火电
600011.SH,华能国际,火电
600021.SH,上海电力,火电
600023.SH,浙能电力,火电
600027.SH,华电国际,火电
600098.SH,广州发展,火电
600452.SH,涪陵电力,火电
600483.SH,福能股份,火电
600642.SH,申能股份,火电
600726.SH,华电能源,火电
600744.SH,华银电力,火电
600780.SH,通宝能源,火电
600795.SH,国电电力,火电
600863.SH,内蒙华电,火电
600886.SH,国投电力,火电
601991.SH,大唐发电,火电
002255.SZ,海陆重工,火电设备
002630.SZ,华西能源,火电设备
002665.SZ,首航节能,火电设备
300105.SZ,龙源技术,火电设备
600202.SH,哈空调,火电设备
000089.SZ,深圳机场,机场
600004.SH,白云机场,机场
600009.SH,上海机场,机场
600897.SH,厦门空港,机场
000410.SZ,沈阳机床,机床工具
000837.SZ,秦川机床,机床工具
002248.SZ,华东数控,机床工具
002270.SZ,法因数控,机床工具
002520.SZ,日发精机,机床工具
002559.SZ,亚威股份,机床工具
002747.SZ,埃斯顿,机床工具
300161.SZ,华中数控,机床工具
300280.SZ,南通锻压,机床工具
600243.SH,青海华鼎,机床工具
600806.SH,昆明机床,机床工具
600862.SH,南通科技,机床工具
603011.SH,合锻股份,机床工具
603088.SH,宁波精达,机床工具
000595.SZ,宝塔实业,机械基础件
000777.SZ,中核科技,机械基础件
002026.SZ,山东威达,机械基础件
002046.SZ,轴研科技,机械基础件
002122.SZ,天马股份,机械基础件
002147.SZ,方圆支承,机械基础件
002164.SZ,宁波东力,机械基础件
002204.SZ,大连重工,机械基础件
002272.SZ,川润股份,机械基础件
002347.SZ,泰尔重工,机械基础件
002423.SZ,中原特钢,机械基础件
002426.SZ,胜利精密,机械基础件
002438.SZ,江苏神通,机械基础件
002480.SZ,新筑股份,机械基础件
002514.SZ,宝馨科技,机械基础件
002537.SZ,海立美达,机械基础件
002552.SZ,宝鼎科技,机械基础件
002633.SZ,*ST申科,机械基础件
002760.SZ,凤形股份,机械基础件
300034.SZ,钢研高纳,机械基础件
300092.SZ,科新机电,机械基础件
300185.SZ,通裕重工,机械基础件
300260.SZ,新莱应材,机械基础件
300345.SZ,红宇新材,机械基础件
300421.SZ,力星股份,机械基础件
300443.SZ,金雷风电,机械基础件
300488.SZ,恒锋工具,机械基础件
600382.SH,广东明珠,机械基础件
600592.SH,龙溪股份,机械基础件
600765.SH,中航重机,机械基础件
601002.SH,晋亿实业,机械基础件
601100.SH,恒立液压,机械基础件
601177.SH,杭齿前进,机械基础件
603308.SH,应流股份,机械基础件
603315.SH,福鞍股份,机械基础件
603699.SH,纽威股份,机械基础件
002049.SZ,同方国芯,集成电路
002156.SZ,通富微电,集成电路
002180.SZ,艾派克,集成电路
002185.SZ,华天科技,集成电路
300053.SZ,欧比特,集成电路
300077.SZ,国民技术,集成电路
300139.SZ,晓程科技,集成电路
300183.SZ,东软载波,集成电路
300223.SZ,北京君正,集成电路
300327.SZ,中颖电子,集成电路
300458.SZ,全志科技,集成电路
300493.SZ,润欣科技,集成电路
600171.SH,上海贝岭,集成电路
600584.SH,长电科技,集成电路
600667.SH,太极实业,集成电路
603005.SH,晶方科技,集成电路
002058.SZ,威尔泰,计量仪表
002121.SZ,科陆电子,计量仪表
002356.SZ,浩宁达,计量仪表
002546.SZ,新联电子,计量仪表
002767.SZ,先锋电子,计量仪表
300286.SZ,安科瑞,计量仪表
300356.SZ,光一科技,计量仪表
300360.SZ,炬华科技,计量仪表
300466.SZ,赛摩电气,计量仪表
601222.SH,林洋能源,计量仪表
601567.SH,三星医疗,计量仪表
603100.SH,川仪股份,计量仪表
000021.SZ,深科技,计算机设备
000066.SZ,长城电脑,计算机设备
000748.SZ,长城信息,计算机设备
000938.SZ,紫光股份,计算机设备
000948.SZ,南天信息,计算机设备
000977.SZ,浪潮信息,计算机设备
000997.SZ,新大陆,计算机设备
002027.SZ,七喜控股,计算机设备
002152.SZ,广电运通,计算机设备
002177.SZ,御银股份,计算机设备
002197.SZ,证通电子,计算机设备
002236.SZ,大华股份,计算机设备
002308.SZ,威创股份,计算机设备
002312.SZ,三泰控股,计算机设备
002376.SZ,新北洋,计算机设备
002383.SZ,合众思壮,计算机设备
002415.SZ,海康威视,计算机设备
002528.SZ,英飞拓,计算机设备
002577.SZ,雷柏科技,计算机设备
300042.SZ,朗科科技,计算机设备
300045.SZ,华力创通,计算机设备
300065.SZ,海兰信,计算机设备
300130.SZ,新国都,计算机设备
300155.SZ,安居宝,计算机设备
300177.SZ,中海达,计算机设备
300202.SZ,聚龙股份,计算机设备
300270.SZ,中威电子,计算机设备
300302.SZ,同有科技,计算机设备
300333.SZ,兆日科技,计算机设备
300367.SZ,东方网力,计算机设备
300368.SZ,汇金股份,计算机设备
300386.SZ,飞天诚信,计算机设备
300449.SZ,汉邦高科,计算机设备
300462.SZ,华铭智能,计算机设备
300479.SZ,神思电子,计算机设备
600100.SH,同方股份,计算机设备
600601.SH,方正科技,计算机设备
600680.SH,上海普天,计算机设备
600764.SH,中电广通,计算机设备
600850.SH,华东电脑,计算机设备
600855.SH,航天长峰,计算机设备
603019.SH,中科曙光,计算机设备
000404.SZ,华意压缩,家电零部件
002011.SZ,盾安环境,家电零部件
002050.SZ,三花股份,家电零部件
002290.SZ,禾盛新材,家电零部件
002366.SZ,台海核电,家电零部件
002413.SZ,雷科防务,家电零部件
002418.SZ,康盛股份,家电零部件
002670.SZ,华声股份,家电零部件
002676.SZ,顺威股份,家电零部件
300160.SZ,秀强股份,家电零部件
300217.SZ,东方电热,家电零部件
300342.SZ,天银机电,家电零部件
300403.SZ,地尔汉宇,家电零部件
300475.SZ,聚隆科技,家电零部件
600619.SH,海立股份,家电零部件
603366.SH,日出东方,家电零部件
603519.SH,立霸股份,家电零部件
002293.SZ,罗莱生活,家纺
002327.SZ,富安娜,家纺
002397.SZ,梦洁家纺,家纺
002761.SZ,多喜爱,家纺
000910.SZ,大亚科技,家具
002240.SZ,威华股份,家具
002259.SZ,升达林业,家具
002489.SZ,浙江永强,家具
002572.SZ,索菲亚,家具
002631.SZ,德尔未来,家具
600337.SH,美克家居,家具
600978.SH,宜华木业,家具
603008.SH,喜临门,家具
603600.SH,永艺股份,家具
603818.SH,曲美家居,家具
603898.SH,好莱客,家具
000792.SZ,盐湖股份,钾肥
600251.SH,冠农股份,钾肥
000962.SZ,东方钽业,金属新材料
000969.SZ,安泰科技,金属新材料
002149.SZ,西部材料,金属新材料
002182.SZ,云海金属,金属新材料
002340.SZ,格林美,金属新材料
300428.SZ,四通新材,金属新材料
600114.SH,东睦股份,金属新材料
600478.SH,科力远,金属新材料
000039.SZ,中集集团,金属制品
000890.SZ,法尔胜,金属制品
002132.SZ,恒星科技,金属制品
002150.SZ,通润装备,金属制品
002342.SZ,巨力索具,金属制品
002352.SZ,鼎泰新材,金属制品
002445.SZ,中南重工,金属制品
002487.SZ,大金重工,金属制品
002647.SZ,宏磊股份,金属制品
300228.SZ,富瑞特装,金属制品
600165.SH,新日恒力,金属制品
600558.SH,大西洋,金属制品
600577.SH,精达股份,金属制品
600992.SH,贵绳股份,金属制品
601028.SH,玉龙股份,金属制品
603969.SH,银龙股份,金属制品
000033.SZ,*ST新都,酒店
000428.SZ,华天酒店,酒店
000524.SZ,岭南控股,酒店
000613.SZ,大东海A,酒店
600754.SH,锦江股份,酒店
601007.SH,金陵饭店,酒店
000755.SZ,山西三维,聚氨酯
000818.SZ,方大化工,聚氨酯
002061.SZ,江山化工,聚氨酯
002165.SZ,红宝丽,聚氨酯
002246.SZ,北化股份,聚氨酯
002408.SZ,齐翔腾达,聚氨酯
300200.SZ,高盟新材,聚氨酯
300343.SZ,联创股份,聚氨酯
600230.SH,沧州大化,聚氨酯
600309.SH,万华化学,聚氨酯
600339.SH,天利高新,聚氨酯
601678.SH,滨化股份,聚氨酯
603026.SH,石大胜华,聚氨酯
000333.SZ,美的集团,空调
000651.SZ,格力电器,空调
300249.SZ,依米康,空调
600854.SH,春兰股份,空调
002460.SZ,赣锋锂业,锂
002466.SZ,天齐锂业,锂
002772.SZ,众兴菌业,粮食种植
300143.SZ,星河生物,粮食种植
600598.SH,北大荒,粮食种植
000639.SZ,西王食品,粮油加工
000893.SZ,东凌粮油,粮油加工
600127.SH,金健米业,粮油加工
000592.SZ,平潭发展,林业
000663.SZ,永安林业,林业
002679.SZ,福建金森,林业
600189.SH,吉林森工,林业
600265.SH,ST景谷,林业
002018.SZ,华信国际,磷肥
600470.SH,六国化工,磷肥
600727.SH,鲁北化工,磷肥
600078.SH,澄星股份,磷化工及磷酸盐
600141.SH,兴发集团,磷化工及磷酸盐
002367.SZ,康力电梯,楼宇设备
002435.SZ,长江润发,楼宇设备
002509.SZ,天广消防,楼宇设备
002689.SZ,远大智能,楼宇设备
300116.SZ,坚瑞消防,楼宇设备
600835.SH,上海机电,楼宇设备
600894.SH,广日股份,楼宇设备
601313.SH,江南嘉捷,楼宇设备
000498.SZ,山东路桥,路桥施工
002307.SZ,北新路桥,路桥施工
002628.SZ,成都路桥,路桥施工
300284.SZ,苏交科,路桥施工
300492.SZ,山鼎设计,路桥施工
600039.SH,四川路桥,路桥施工
600284.SH,浦东建设,路桥施工
600326.SH,西藏天路,路桥施工
600512.SH,腾达建设,路桥施工
600853.SH,龙建股份,路桥施工
600986.SH,科达股份,路桥施工
601800.SH,中国交建,路桥施工
603017.SH,中衡设计,路桥施工
603018.SH,设计股份,路桥施工
000589.SZ,黔轮胎A,轮胎
000599.SZ,青岛双星,轮胎
600182.SH,S佳通,轮胎
600469.SH,风神股份,轮胎
600623.SH,双钱股份,轮胎
601058.SH,赛轮金宇,轮胎
000610.SZ,西安旅游,旅游综合
000802.SZ,北京文化,旅游综合
002033.SZ,丽江旅游,旅游综合
002059.SZ,云南旅游,旅游综合
002159.SZ,三特索道,旅游综合
002558.SZ,世纪游轮,旅游综合
002707.SZ,众信旅游,旅游综合
300178.SZ,腾邦国际,旅游综合
600138.SH,中青旅,旅游综合
600258.SH,首旅酒店,旅游综合
600358.SH,国旅联合,旅游综合
600640.SH,号百控股,旅游综合
600706.SH,曲江文旅,旅游综合
600749.SH,西藏旅游,旅游综合
601888.SH,中国国旅,旅游综合
603869.SH,北部湾旅,旅游综合
000612.SZ,焦作万方,铝
000807.SZ,云铝股份,铝
002160.SZ,常铝股份,铝
002379.SZ,鲁丰环保,铝
002501.SZ,利源精制,铝
002540.SZ,亚太科技,铝
002578.SZ,闽发铝业,铝
300337.SZ,银邦股份,铝
600219.SH,南山铝业,铝
600595.SH,中孚实业,铝
600673.SH,东阳光科,铝
600768.SH,宁波富邦,铝
600888.SH,新疆众和,铝
601388.SH,怡球资源,铝
601600.SH,中国铝业,铝
601677.SH,明泰铝业,铝
000510.SZ,*ST金路,氯碱
000635.SZ,英力特,氯碱
002053.SZ,云南盐化,氯碱
002092.SZ,中泰化学,氯碱
002386.SZ,天原集团,氯碱
600075.SH,新疆天业,氯碱
600091.SH,*ST明科,氯碱
600281.SH,太化股份,氯碱
600301.SH,*ST南化,氯碱
600618.SH,氯碱化工,氯碱
600722.SH,金牛化工,氯碱
601216.SH,君正集团,氯碱
603299.SH,井神股份,氯碱
000779.SZ,三毛派神,毛纺
002193.SZ,山东如意,毛纺
600220.SH,江苏阳光,毛纺
600689.SH,上海三毛,毛纺
601599.SH,鹿港科技,毛纺
603889.SH,新澳股份,毛纺
000151.SZ,中成股份,贸易
000408.SZ,金谷源,贸易
000626.SZ,如意集团,贸易
002091.SZ,江苏国泰,贸易
002102.SZ,冠福股份,贸易
600058.SH,五矿发展,贸易
600082.SH,海泰发展,贸易
600120.SH,浙江东方,贸易
600128.SH,弘业股份,贸易
600241.SH,时代万恒,贸易
600247.SH,*ST成城,贸易
600250.SH,南纺股份,贸易
600278.SH,东方创业,贸易
600287.SH,江苏舜天,贸易
600605.SH,汇通能源,贸易
600735.SH,新华锦,贸易
600739.SH,辽宁成大,贸易
600755.SH,厦门国贸,贸易
600822.SH,上海物贸,贸易
600826.SH,兰生股份,贸易
600857.SH,宁波中百,贸易
600981.SH,汇鸿集团,贸易
000159.SZ,国际实业,煤炭加工
000723.SZ,美锦能源,煤炭加工
600179.SH,黑化股份,煤炭加工
600408.SH,*ST安泰,煤炭加工
600721.SH,百花村,煤炭加工
600740.SH,山西焦化,煤炭加工
600792.SH,云煤能源,煤炭加工
601011.SH,宝泰隆,煤炭加工
601015.SH,陕西黑猫,煤炭加工
000552.SZ,靖远煤电,煤炭开采
000571.SZ,新大洲A,煤炭开采
000780.SZ,平庄能源,煤炭开采
000933.SZ,神火股份,煤炭开采
000937.SZ,冀中能源,煤炭开采
000968.SZ,煤气化,煤炭开采
000983.SZ,西山煤电,煤炭开采
002128.SZ,露天煤业,煤炭开采
600121.SH,郑州煤电,煤炭开采
600123.SH,兰花科创,煤炭开采
600157.SH,永泰能源,煤炭开采
600188.SH,兖州煤业,煤炭开采
600348.SH,阳泉煤业,煤炭开采
600381.SH,青海春天,煤炭开采
600395.SH,盘江股份,煤炭开采
600397.SH,安源煤业,煤炭开采
600403.SH,大有能源,煤炭开采
600508.SH,上海能源,煤炭开采
600546.SH,山煤国际,煤炭开采
600714.SH,金瑞矿业,煤炭开采
600971.SH,恒源煤电,煤炭开采
600997.SH,开滦股份,煤炭开采
601001.SH,大同煤业,煤炭开采
601088.SH,中国神华,煤炭开采
601101.SH,昊华能源,煤炭开采
601225.SH,陕西煤业,煤炭开采
601666.SH,平煤股份,煤炭开采
601699.SH,潞安环能,煤炭开采
601898.SH,中煤能源,煤炭开采
601918.SH,国投新集,煤炭开采
000158.SZ,常山股份,棉纺
000726.SZ,鲁泰A,棉纺
000850.SZ,华茂股份,棉纺
000971.SZ,高升控股,棉纺
002042.SZ,华孚色纺,棉纺
002072.SZ,凯瑞德,棉纺
002083.SZ,孚日股份,棉纺
002087.SZ,新野纺织,棉纺
002394.SZ,联发股份,棉纺
600152.SH,维科精华,棉纺
600156.SH,华升股份,棉纺
600493.SH,凤竹纺织,棉纺
600510.SH,黑牡丹,棉纺
601339.SH,百隆东方,棉纺
002037.SZ,久联发展,民爆用品
002096.SZ,南岭民爆,民爆用品
002109.SZ,兴化股份,民爆用品
002226.SZ,江南化工,民爆用品
002360.SZ,同德化工,民爆用品
002497.SZ,雅化集团,民爆用品
002683.SZ,宏大爆破,民爆用品
002783.SZ,凯龙股份,民爆用品
600985.SH,雷鸣科化,民爆用品
603227.SH,雪峰科技,民爆用品
002031.SZ,巨轮智能,磨具磨料
002282.SZ,博深工具,磨具磨料
002510.SZ,天汽模,磨具磨料
002595.SZ,豪迈科技,磨具磨料
002786.SZ,银宝山新,磨具磨料
300064.SZ,豫金刚石,磨具磨料
300080.SZ,易成新能,磨具磨料
300151.SZ,昌红科技,磨具磨料
300179.SZ,四方达,磨具磨料
600172.SH,黄河旋风,磨具磨料
600520.SH,中发科技,磨具磨料
002066.SZ,瑞泰科技,耐火材料
002088.SZ,鲁阳节能,耐火材料
002225.SZ,濮耐股份,耐火材料
002392.SZ,北京利尔,耐火材料
300344.SZ,太空板业,耐火材料
300374.SZ,恒通科技,耐火材料
002029.SZ,七匹狼,男装
002154.SZ,报喜鸟,男装
002485.SZ,希努尔,男装
002569.SZ,步森股份,男装
002656.SZ,卡奴迪路,男装
002687.SZ,乔治白,男装
600177.SH,雅戈尔,男装
600233.SH,大杨创世,男装
600398.SH,海澜之家,男装
600400.SH,红豆股份,男装
601566.SH,九牧王,男装
000570.SZ,苏常柴A,内燃机
000617.SZ,石油济柴,内燃机
000816.SZ,智慧农业,内燃机
000880.SZ,潍柴重机,内燃机
300391.SZ,康跃科技,内燃机
600218.SH,全柴动力,内燃机
600841.SH,上柴股份,内燃机
600960.SH,渤海活塞,内燃机
000407.SZ,胜利股份,农药
000525.SZ,红太阳,农药
000553.SZ,沙隆达A,农药
002004.SZ,华邦健康,农药
002215.SZ,诺普信,农药
002250.SZ,联化科技,农药
002258.SZ,利尔化学,农药
002391.SZ,长青股份,农药
002411.SZ,九九久,农药
002496.SZ,辉丰股份,农药
002513.SZ,蓝丰生化,农药
002734.SZ,利民股份,农药
002749.SZ,国光股份,农药
600389.SH,江山股份,农药
600486.SH,扬农化工,农药
600500.SH,中化国际,农药
600538.SH,国发股份,农药
600596.SH,新安股份,农药
600731.SH,湖南海利,农药
600803.SH,新奥股份,农药
603599.SH,广信股份,农药
300021.SZ,大禹节水,农业综合
600313.SH,农发种业,农业综合
300159.SZ,新研股份,农用机械
601038.SH,一拖股份,农用机械
603789.SH,星光农机,农用机械
002044.SZ,美年健康,女装
002239.SZ,奥特佳,女装
002425.SZ,凯撒股份,女装
002612.SZ,朗姿股份,女装
603518.SH,维格娜丝,女装
603808.SH,歌力思,女装
000729.SZ,燕京啤酒,啤酒
000752.SZ,西藏发展,啤酒
000929.SZ,兰州黄河,啤酒
002461.SZ,珠江啤酒,啤酒
600090.SH,啤酒花,啤酒
600132.SH,重庆啤酒,啤酒
600573.SH,惠泉啤酒,啤酒
600600.SH,青岛啤酒,啤酒
000504.SZ,南华生物,平面媒体
000719.SZ,大地传媒,平面媒体
000793.SZ,华闻传媒,平面媒体
002181.SZ,粤传媒,平面媒体
300148.SZ,天舟文化,平面媒体
300364.SZ,中文在线,平面媒体
600373.SH,中文传媒,平面媒体
600551.SH,时代出版,平面媒体
600633.SH,浙报传媒,平面媒体
600757.SH,长江传媒,平面媒体
600825.SH,新华传媒,平面媒体
600880.SH,博瑞传播,平面媒体
601098.SH,中南传媒,平面媒体
601801.SH,皖新传媒,平面媒体
601928.SH,凤凰传媒,平面媒体
601999.SH,出版传媒,平面媒体
603999.SH,读者传媒,平面媒体
601900.SH,南方传媒,平面媒体
000557.SZ,*ST广夏,葡萄酒
000869.SZ,张裕A,葡萄酒
600084.SH,中葡股份,葡萄酒
600365.SH,通葡股份,葡萄酒
600543.SH,莫高股份,葡萄酒
000709.SZ,河钢股份,普钢
000717.SZ,韶钢松山,普钢
000761.SZ,本钢板材,普钢
000778.SZ,新兴铸管,普钢
000825.SZ,太钢不锈,普钢
000898.SZ,鞍钢股份,普钢
000906.SZ,物产中拓,普钢
000932.SZ,华菱钢铁,普钢
000959.SZ,首钢股份,普钢
002075.SZ,沙钢股份,普钢
002110.SZ,三钢闽光,普钢
600005.SH,武钢股份,普钢
600010.SH,包钢股份,普钢
600019.SH,宝钢股份,普钢
600022.SH,山东钢铁,普钢
600126.SH,杭钢股份,普钢
600231.SH,凌钢股份,普钢
600282.SH,南钢股份,普钢
600307.SH,酒钢宏兴,普钢
600569.SH,安阳钢铁,普钢
600581.SH,八一钢铁,普钢
600782.SH,新钢股份,普钢
600784.SH,鲁银投资,普钢
600808.SH,马钢股份,普钢
601003.SH,柳钢股份,普钢
000409.SZ,山东地矿,其他采掘
000629.SZ,攀钢钒钛,其他采掘
000655.SZ,金岭矿业,其他采掘
000762.SZ,西藏矿业,其他采掘
600193.SH,创兴资源,其他采掘
600295.SH,鄂尔多斯,其他采掘
600532.SH,宏达矿业,其他采掘
600882.SH,华联矿业,其他采掘
601969.SH,海南矿业,其他采掘
002738.SZ,中矿资源,其他采掘服务
603979.SH,金诚信,其他采掘服务
002266.SZ,浙富控股,其他电源设备
002534.SZ,杭锅股份,其他电源设备
300362.SZ,天翔环境,其他电源设备
300372.SZ,欣泰电气,其他电源设备
600475.SH,华光股份,其他电源设备
000541.SZ,佛山照明,其他电子
000988.SZ,华工科技,其他电子
002008.SZ,大族激光,其他电子
002056.SZ,横店东磁,其他电子
002076.SZ,雪莱特,其他电子
002141.SZ,蓉胜超微,其他电子
002161.SZ,远望谷,其他电子
002214.SZ,大立科技,其他电子
002388.SZ,新亚制程,其他电子
002414.SZ,高德红外,其他电子
002724.SZ,海洋王,其他电子
002729.SZ,好利来,其他电子
300014.SZ,亿纬锂能,其他电子
300078.SZ,思创医惠,其他电子
300184.SZ,力源信息,其他电子
300220.SZ,金运激光,其他电子
300340.SZ,科恒股份,其他电子
300390.SZ,天华超净,其他电子
300410.SZ,正业科技,其他电子
300438.SZ,鹏辉能源,其他电子
600074.SH,保千里,其他电子
600261.SH,阳光照明,其他电子
600288.SH,大恒科技,其他电子
600651.SH,飞乐音响,其他电子
600800.SH,天津磁卡,其他电子
000955.SZ,欣龙控股,其他纺织
000982.SZ,中银绒业,其他纺织
002144.SZ,宏达高科,其他纺织
002516.SZ,旷达科技,其他纺织
600070.SH,浙江富润,其他纺织
600626.SH,申达股份,其他纺织
002486.SZ,嘉麟杰,其他服装
002494.SZ,华斯股份,其他服装
002634.SZ,棒杰股份,其他服装
002762.SZ,金发拉比,其他服装
002763.SZ,汇洁股份,其他服装
002780.SZ,三夫户外,其他服装
300005.SZ,探路者,其他服装
600107.SH,美尔雅,其他服装
600137.SH,浪莎股份,其他服装
600272.SH,开开实业,其他服装
600630.SH,龙头股份,其他服装
601718.SH,际华集团,其他服装
603558.SH,健盛集团,其他服装
300383.SZ,光环新网,其他互联网服务
600804.SH,鹏博士,其他互联网服务
000545.SZ,金浦钛业,其他化学原料
002648.SZ,卫星石化,其他化学原料
000627.SZ,天茂集团,其他化学制品
000985.SZ,大庆华科,其他化学制品
002136.SZ,安纳达,其他化学制品
002145.SZ,中核钛白,其他化学制品
002211.SZ,宏达新材,其他化学制品
002409.SZ,雅克科技,其他化学制品
002453.SZ,天马精化,其他化学制品
002455.SZ,百川股份,其他化学制品
002476.SZ,宝莫股份,其他化学制品
002549.SZ,凯美特气,其他化学制品
002562.SZ,兄弟科技,其他化学制品
002581.SZ,未名医药,其他化学制品
002584.SZ,西陇科学,其他化学制品
002591.SZ,恒大高新,其他化学制品
002597.SZ,金禾实业,其他化学制品
002601.SZ,佰利联,其他化学制品
002632.SZ,道明光学,其他化学制品
